name,longitude,latitude
GALILEA,-2.232,42.341
LA CIGÜEÑA,-2.428,42.464
PRADEJÓN,-2.059,42.34
RIO COBO,-7.4319,43.6844
XOVE,-7.507778,43.686269
LUGO-FINGOY,-7.5509,42.9979
Cuíña,-7.5047,42.9573
LOUSEIRAS (B-2),-7.7377,43.5329
NNW,-7.4519,42.7261
SUR,-7.44944444,42.71527777
EST-OU,-7.4456,42.7172
SUR,-7.44944,42.71528
O SAVIÑAO,-7.704583,42.63472
MOURENCE (C-9),-7.6937,43.313
BURELA,-7.3789,43.6694
ESCOLA DE MÚSICA,-7.3632,43.6591
ALCALÁ DE HENARES,-3.377949,40.479328
ALCOBENDAS,-3.645253,40.540351
ALCORCÓN,-3.8337,40.3419
ALGETE,-3.5033,40.5997
ARANJUEZ,-3.5914,40.03327
ARGANDA DEL REY,-3.45883056,40.3006944
EL ATAZAR,-3.4679,40.909
COLMENAR VIEJO,-3.7739,40.6646
COLLADO VILLALBA,-4.01425,40.6339
COSLADA,-3.5424,40.4306
FUENLABRADA,-3.800946,40.281505
GETAFE (HASTA FEBRERO 2013),-3.71416666,40.32472222
GETAFE,-3.716868,40.314518
GUADALIX DE LA SIERRA,-3.702147222,40.780633333
LEGANÉS,-3.7545,40.3397
PLAZA DE ESPAÑA,-3.71222222,40.42416666
ESCUELAS AGUIRRE,-3.68222222,40.42166666
RAMÓN Y CAJAL,-3.67722222,40.45166666
ARTURO SORIA,-3.63916666,40.44
VILLAVERDE,-3.705,40.34694444
FAROLILLO,-3.73194444,40.39472222
CASA DE CAMPO,-3.74916666,40.42
BARAJAS - PUEBLO,-3.575,40.47472222
PLAZA DEL CARMEN,-3.70333333,40.41916666
MORATALAZ,-3.64527777,40.40805555
CUATRO CAMINOS-PABLO IGLESIAS,-3.70638888,40.44527777
BARRIO DEL PILAR,-3.71138888,40.47833333
PUENTE DE VALLECAS,-3.65138888,40.38805555
CENTRO CULTURAL ALFREDO KRAUSS,-3.72111111,40.49083333
JUNTA MUNICIPAL DE MORATALAZ,-3.63694444,40.39861111
MENDEZ ALVARO,-3.68666666,40.39805555
CASTELLANA,-3.69027777,40.43972222
RETIRO,-3.68555555,40.40972222
PLAZA CASTILLA-CANAL,-3.68833333,40.46583333
ENSANCHE DE VALLECAS,-3.61194444,40.37277777
URBANIZACION EMBAJADA,-3.58055555,40.4625
PLAZA ELÍPTICA,-3.7186,40.3847
SANCHINARRO,-3.66027777,40.49416666
EL PARDO,-3.77444444,40.51805555
JUAN CARLOS I,-3.60888888,40.465
TRES OLIVOS,-3.68972222,40.50055555
CENTRO INTEGRADO ARGANZUELA,-3.695,40.4025
MAJADAHONDA,-3.8689,40.4461
MÓSTOLES,-3.87677,40.3242
ORUSCO DE TAJUÑA,-3.2211,40.2876
PARLA,-3.7694,40.23356
POZUELO DE ALARCÓN,-3.8037,40.4491
PUERTO DE COTOS,-3.9612,40.8251
RIVAS-VACIAMADRID,-3.5429,40.3597
LAS ROZAS,-3.8862,40.5014
SAN MARTIN DE VALDEIGLESIAS,-4.3981,40.3677
SAN SEBASTIAN DE LOS REYES,-3.62562,40.56067
TORREJON DE ARDOZ,-3.4776,40.4495
VALDEMORO,-3.680265,40.185241
VILLA DEL PRADO,-4.2752,40.2479
VILLAREJO DE SALVANES,-3.2766,40.1672
CAMPILLOS,-4.84483,36.9623
EL ATABAL,-4.46553,36.72956
CARRANQUE,-4.4475,36.71964
CAMPANILLAS CIFA,-4.56095,36.72785
AVENIDA JUAN XXIII,-4.446,36.7073
MÁLAGA-ESTE,-4.35573,36.7261
MARBELLA ARCO,-4.863,36.511
ALCANTARILLA,-1.2321,37.9745
CARAVACA,-1.8687,38.1147
ALUMBRES,-0.914361,37.602032
LA ALJORRA,-1.0659,37.6925
MOMPEAN,-0.9762,37.6018
VALLE DE ESCOMBRERAS,-0.926543,37.5744
JUMILLA,-1.3285,38.4717
LORCA,-1.702782,37.687837
MOLINA DE SEGURA,-1.204813,38.057373
SAN BASILIO,-1.1459,37.9923
RONDA SUR,-1.1277,37.9701
ALSASUA,-2.173,42.898
FUNES,-1.81,42.307
LEITZA,-1.913,43.082
OLITE,-1.656,42.49
ITURRAMA,-1.653,42.806
PLAZA DE LA CRUZ,-1.64,42.8122
ROTXAPEA,-1.651,42.826
FELISA MUNARRIZ,-1.644,42.807
UPNA,-1.63,42.792
SANGUESA,-1.284,42.579
TUDELA,-1.628,42.074
TUDELA II,-1.601,42.06
XINZO DE LIMIA,-7.7299,42.0607
LAZA,-7.4089,42.0616
GOMEZ FRANQUEIRA,-7.8779,42.353
LLARANES,-5.8989,43.5503
LLANOPONTE,-5.9197,43.5512
MATADERO,-5.9273,43.5792
PLAZA DE LA GUITARRA,-5.9275,43.5589
SALINAS,-5.9583,43.5705
JARDÍN DE CANTOS,-5.9244,43.568
CANGAS DEL NARCEA,-6.5527,43.1788
HERMANOS FELGUEROSO,-5.6583,43.5352
ARGENTINA,-5.6989,43.5388
CONSTITUCIÓN,-5.6735,43.5299
AVENIDA DE CASTILLA,-5.6461,43.5378
MONTEVIL,-5.6707,43.5166
SANTA BÁRBARA,-5.6895,43.5229
EL LAUREDAL,-5.7093,43.5427
MERIÑÁN,-5.7057,43.3069
LA FELGUERA,-5.6897,43.3067
SAMA I,-5.6796,43.2941
NIEMBRO,-4.849722,43.43917
JARDINES DE JUAN XXIII,-5.7759,43.2561
PLAZA DE TOROS,-5.8664,43.3583
PALACIO DE DEPORTES,-5.833,43.3665
TRUBIA,-5.98566,43.34296
PURIFICACIÓN TOMÁS,-5.8728,43.3727
TRUBIA PISCINAS,-5.9697,43.3457
BLIMEA,-5.596,43.2757
LUGONES,-5.8108,43.4036
LUGONES INSTITUTO,-5.8028,43.4015
SOMIEDO,-6.1926,43.0696
CEMENTOS PORTLAND 1,-4.47,41.93277777
CEMENTOS PORTLAND 2,-4.46583333,41.94805555
GUARDO,-4.84083333,42.79527777
PALENCIA 3,-4.5383,42.0194
VILLALBA DE GUARDO,-4.8272,42.7036
RENAULT 4,-4.4944,41.9614
AGÜIMES,-15.445028,27.897639
ARINAGA,-15.3872,27.8691
OBSERVATORIO TEMISAS,-15.50793,27.8998
ARRECIFE,-13.547584,28.97699
CIUDAD DEPORTIVA-ARRECIFE,-13.555856,28.96787
POLIDEPORTIVO AFONSO-ARUCAS,-15.520924,28.111266
JINÁMAR III FASE,-15.41631,28.03512
NÉSTOR ÁLAMO,-15.40914,28.03156
MERCADO CENTRAL,-15.432823,28.133732
PARQUE LAS REHOYAS- LAS PALMAS DE GC,-15.430123,28.107452
SAN NICOLÁS,-15.4228,28.1033
LA ISLETA,-15.42905,28.15106
CENTRO DE ARTE JUAN ISMAEL,-13.852395,28.500255
PARQUE DE LA PIEDRA,-13.85369942,28.50276174
CASA PALACIO-PUERTO DEL ROSARIO,-13.86083,28.49838
TEFÍA-PUERTO DEL ROSARIO,-14.00444,28.52722
EL CHARCO-PTO DEL ROSARIO,-13.84898,28.50616
